First Author,Year,Country,Design,Outcome,Population - Primary,Population - Original,Risk Factor - Category,Risk Factor - Primary,Risk Factor - Secondary,Risk Factor - Original,Comparator,Estimator,Size Effect,Confidence Interval,P Value,Paper Title,Paper DOI,Paper PMID,Paper Web Link
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Living Condition,Living situation,Living alone,Living alone,,HR,1.124,CI95 [1.029-1.227],,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12999,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized male adult patients with a principal diagnosis of depressive disorder,Education,High school,Upper secondary school ,Education: Upper secondary,Basic,HR,1.128,CI95 [1.010-1.260],,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13005,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Education,High school,Upper secondary school ,Education: Upper secondary,Basic,HR,1.147,CI95 [1.049-1.253],,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12996,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized male adult patients with a principal diagnosis of depressive disorder,Substance Use and Addictions,Alcohol use and disorder,Alcohol dependence,Alcohol dependence,,HR,1.147,CI95 [1.008-1.306],,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13002,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized male adult patients with a principal diagnosis of depressive disorder,Living Condition,Living situation,Living alone,Living alone,,HR,1.165,CI95 [1.044-1.301],,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13007,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized male adult patients with a principal diagnosis of depressive disorder,Income and Socioeconomic Status,High income or socioeconomic position,Income: Highest third,Income: Highest third,Lowest third,HR,1.169,CI95 [1.018-1.343],,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13006,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized female adult patients with a principal diagnosis of depressive disorder,Education,High school,Upper secondary school ,Education: Upper secondary,Basic,HR,1.177,CI95 [1.013-1.369],,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13012,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Psychiatric and Mental Health Conditions,Depression severity,Depression severity: Severe without psychotic symptoms ,Depression severity: Severe without psychotic symptoms ,Moderate,HR,1.188,CI95 [1.083-1.303],,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12991,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Income and Socioeconomic Status,High income or socioeconomic position,Income: Highest third,Income: Highest third,Lowest third,HR,1.191,CI95 [1.068-1.329],,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12998,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized female adult patients with a principal diagnosis of depressive disorder,Income and Socioeconomic Status,High income or socioeconomic position,Income: Highest third,Income: Highest third,Lowest third,HR,1.207,CI95 [1.011-1.442],,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13014,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized male adult patients with a principal diagnosis of depressive disorder,Psychiatric and Mental Health Conditions,Depression severity,Depression severity: Severe without psychotic symptoms ,Depression severity: Severe without psychotic symptoms ,Moderate,HR,1.23,CI95 [1.095-1.382],,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13000,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Substance Use and Addictions,Alcohol use and disorder,Alcohol dependence,Alcohol dependence,,HR,1.261,CI95 [1.129-1.409],,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12993,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
